epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
38,2944.88,1.24327,1.43088,1.63166,0.02505,0.73477,0.69244,0.73647,0.51314,1.2117,1.35219,1.72164,0.02618,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337
39,3031.07,1.24745,1.44931,1.62998,0.02409,0.74432,0.64373,0.71753,0.48471,1.25181,1.42672,1.74801,0.02692,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
40,3116.12,1.24191,1.42484,1.62564,0.02401,0.7716,0.67459,0.74844,0.52576,1.20756,1.28598,1.71286,0.02475,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139,0.0288417,0.0096139
41,3201.39,1.239,1.42069,1.62558,0.02368,0.72582,0.68526,0.72833,0.50377,1.21684,1.36816,1.72406,0.02476,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
42,3286.62,1.22456,1.39138,1.61052,0.02461,0.78401,0.6745,0.75955,0.52585,1.18859,1.25146,1.69575,0.02397,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941,0.0287823,0.0095941
43,3371.44,1.21456,1.38144,1.59807,0.02293,0.73528,0.68213,0.74371,0.51867,1.20453,1.28795,1.70915,0.0264,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
44,3455.96,1.21978,1.38474,1.60084,0.02345,0.73315,0.68683,0.73716,0.51735,1.19689,1.27425,1.69244,0.02493,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743,0.0287229,0.0095743
45,3540.59,1.22039,1.37324,1.5951,0.02406,0.73498,0.69686,0.73952,0.52185,1.18683,1.25582,1.69396,0.02492,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
46,3625.36,1.21587,1.37355,1.60026,0.02362,0.73288,0.69897,0.73083,0.49796,1.2358,1.32837,1.73239,0.02641,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
47,3709.72,1.2082,1.33875,1.5873,0.02384,0.77324,0.68121,0.75041,0.52894,1.18673,1.25186,1.69279,0.02582,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
48,3792.85,1.19592,1.32927,1.57168,0.02356,0.7604,0.71702,0.77685,0.55471,1.16462,1.20813,1.66391,0.02505,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347
49,3878.1,1.20215,1.34783,1.58015,0.02378,0.77433,0.7175,0.77309,0.54631,1.1713,1.20668,1.66535,0.0241,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
50,3963.7,1.20657,1.32474,1.57672,0.02398,0.75838,0.71853,0.7715,0.54959,1.1411,1.23318,1.63531,0.02507,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149
51,4047.03,1.18988,1.30949,1.56084,0.02425,0.80306,0.70694,0.77256,0.55777,1.13997,1.19983,1.64858,0.0239,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
52,4133.63,1.17491,1.31127,1.56026,0.02238,0.7704,0.70502,0.77462,0.55241,1.15092,1.20067,1.65724,0.02381,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951
53,4220.4,1.17218,1.28934,1.55155,0.02329,0.80761,0.71017,0.78399,0.56987,1.12004,1.1672,1.60726,0.02474,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
54,4307.29,1.1755,1.29181,1.54628,0.02218,0.78604,0.72187,0.78464,0.55768,1.14509,1.18191,1.63495,0.02436,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753
55,4391.93,1.17125,1.29468,1.55195,0.02315,0.77561,0.73748,0.78051,0.56046,1.14761,1.16385,1.62998,0.0238,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
56,4476.15,1.1686,1.27644,1.54157,0.02293,0.78309,0.71906,0.78422,0.56531,1.12336,1.14709,1.61768,0.02397,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
57,4561.04,1.15619,1.25393,1.53294,0.02262,0.79424,0.76077,0.80304,0.59058,1.08552,1.08207,1.57779,0.02445,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
58,4646.45,1.16527,1.27704,1.54128,0.02194,0.76834,0.7085,0.76657,0.54888,1.16063,1.18153,1.64747,0.02535,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357
59,4731.76,1.15566,1.24898,1.536,0.0232,0.7941,0.76027,0.80472,0.59978,1.07903,1.08681,1.57066,0.02418,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
60,4817.87,1.14883,1.26241,1.52305,0.02217,0.79264,0.73742,0.79675,0.58227,1.09481,1.09672,1.57538,0.02393,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159
